session_id,total,consent,refresh
6949e8926f2cc20977236c1f,2:19,0:36,0:04
6949e857ada3c9d278f3facb,2:48,0:18,0:03
6949e8a39996f866421ff49b,2:38,0:22,0:02
6949e82fd77370dcfcfd640b,2:05,0:11,0:03
6949e8a75938a0883c1db600,2:03,0:02,0:04
6949e85fb362ce01741cac61,4:30,0:06,0:04
6949e8d2f178a7d36d2f9378,N/A,,
6949e9650614ae5585236109,N/A,0:12,0:04
6949e8cd84f3cc7128fef6bd,1:47,0:03,0:01
6949e8eb460ec3026b00b324,2:49,0:25,0:02
6949e8d63508e3740c4b4e9f,3:53,1:40,0:01
6949e95ed7277df22a460e25,2:05,0:03,0:01
6949e98a39151bf7fac3b4d6,2:03,0:02,0:03
6949e9cd97a4b5deec8cb878,1:59,0:03,0:03
6949ea08123c5d3d77ab26e5,2:52,0:02,0:03
6949ea2d729c31bf7409065c,4:09,0:18,0:08
6949ea1eb535b0cd4604d114,2:13,0:04,0:04
6949ea1324b0e4f88b5ce77a,2:28,0:07,0:04
6949e9bd3d90ee6b9684b5b5,3:14,0:15,0:10
6949e9a0a02c32c0db3f9cc0,1:54,0:09,0:02
6949ea331d18523f01329243,1:56,0:01,0:01
6949ea336d33876423927d73,1:41,0:01,0:01
6949ea4c017888cf4d2be3ff,2:04,0:02,0:01
6949ea642d4cc88c63efd389,2:02,0:01,0:03
6949ea569a7f6cca486fba9a,1:59,0:13,0:00
6949ea770956774e6588cd78,N/A,,
6949ea6915c26836cf38796e,9:04,1:21,3:32
6949eac7477e4c8223a43319,N/A,0:07,0:02
6949eaa4c6ef91b1ed8d8dd1,1:40,0:04,0:02
6949ea9481c5bb6fd5672cc9,3:34,0:07,0:06
6949eabd4d0c8224b49a6d29,3:38,0:25,0:05
6949ea7952a3fdb7fb80da49,2:34,0:22,0:01
6949eab1c673ace6ea122bb9,2:08,0:02,0:03
6949ead65d9f9fcc984554cf,2:48,0:03,0:01
6949eb291ebee54cc18d8b8e,2:12,0:05,0:01
6949eb296857512a5470fd43,2:52,0:06,0:04
6949eb989cd60fe7fc8d7b97,2:30,0:04,0:02
6949eb3517d58e9c5d500ba4,1:50,0:01,0:01
6949eb809a192d2ce350055e,N/A,0:00,0:02
6949ebfc09ce1924e03f360b,2:26,0:01,0:02
6949ec04672cf680e9b55be2,3:29,0:02,0:05
6949eb90b7ba52e9643e19a2,N/A,,
6949ec1c34249e5baa542978,2:19,0:01,0:03
6949ec241c28eb5748aae1b2,3:18,0:01,0:04
6949ec2c2f05d52bee09c29f,1:51,0:01,0:03
6949ec3413bc6ba745013da6,2:45,0:05,0:11
6949eb9533b8a2005548c7f7,4:43,0:24,0:04
6949eb976dbfd6877cda9e7d,3:51,0:03,0:12
6949ebe738bb9d7d9b5482b4,3:03,0:03,0:09
6949ec0a822fe5ff66b730ba,2:12,0:01,0:02
6949ebe8d66ffbfe38051dc1,2:11,0:04,0:03
6949ec61c9db6203f28ac474,1:47,0:01,0:03
6949ec925938a0883c1db663,2:44,0:18,0:02
6949ec95fd1adc8e5646126f,2:32,0:03,0:05
6949ecc48a12a7b0dec89641,N/A,,
6949ec91017888cf4d2be443,2:59,0:09,0:02
6949ec8a61484d6ad9b51183,2:07,0:06,0:03
6949ec64e60208cd6bc4c328,2:30,0:02,0:02
6949ec960cd8e495e5bc21ac,2:51,0:11,0:09
6949edbf541f3e25077ac1e2,N/A,,
6949ecd51364064556ff343d,6:11,0:46,0:07
6949ed0f6e55e36a2aa010c2,2:18,0:13,0:02
6949edc6549d4727b6cc6ea3,2:30,0:07,0:02
6949ee9ee9525b2673c5d097,2:53,0:04,0:02
6949ee7f1bad4acd3abc21ba,1:53,0:01,0:01
6949ecfb37530e481248c2f6,2:15,0:07,0:03
6949ed7c7b7fec75256b4185,2:54,0:04,0:03
6949eef77b141eb908b9f874,2:11,0:01,0:06
6949eead278a03811477f91f,1:31,0:01,0:03
6949ef6c9cd43a63355fba0d,2:18,0:03,0:03
6949ef751d1285283ba0a14a,1:39,0:02,0:01
6949eedeb384603070724d82,4:03,0:16,0:07
6949ef9263ee21692404303f,N/A,0:05,0:03
6949efb2962aab5c447aca20,2:12,0:02,0:01
6949eecbe13e3dac8eee4263,2:31,0:01,0:02
6949efca6dbfd6877cda9ee4,2:17,0:03,0:07
6949f031fee89ecc1a8154c4,3:14,0:04,0:01
6949f0b5b42343c2ffc694fb,2:08,0:13,0:02
6949f0d172430917997aca49,2:06,0:04,0:02
6949f1a85005df94bac8ea4f,N/A,,
6949f0d80e42488cd472e359,3:29,0:02,0:03
6949f0db0671a7123fddd120,1:44,0:01,0:02
6949f14fca0cf5f2dc26edc4,1:46,0:01,0:02
6949f1c12d4cc88c63efd449,2:29,0:11,0:07
6949f24a893cd1ba1d7486ff,2:24,0:08,0:02
6949f43f0c153bce1ee3b998,3:56,0:35,0:06
6949f4d1c673ace6ea122edf,2:24,0:01,0:02
6949f3f7fc9b016a1fff2948,N/A,0:02,0:03
6949f41c2a0298e1cb384468,N/A,0:08,0:03
6949f45c017888cf4d2be4f6,2:03,0:03,0:03
6949f48b34afdec6a35844f5,1:38,0:01,0:01
6949f4f4ed08ba94e5e24db1,2:49,0:02,0:04
6949f680e2d67e88ca20a70e,2:01,0:02,0:03
debug,N/A,0:01,0:01
6949fdaf00661394bf39b365,N/A,,
6949fd0cc103f05038d9bf67,2:26,0:16,0:04
6949fc1b6f2cc20977236edf,3:16,0:19,0:05
6949f68205475fa3a26b7e8e,2:05,0:01,0:01
6949f8d3a1dad44de729ad2a,2:11,0:02,0:07
6949fee2798135a75c1ff1ec,2:04,0:01,0:02
6949f9269cd60fe7fc8d7d06,4:19,0:37,0:03
694a1acfd3c9b17f69806368,2:28,0:06,0:03
694a0663793f05c904fc78eb,1:53,0:01,0:01
