session_id,difficulty,fun,feedback
6949e086f178a7d36d2f92c7,too easy,typical,
6949e0be72971c116f0670bc,just right,better than average,I like this!
6949e1115d9f9fcc984553c2,just right,better than average,No. Bless you and your loved ones in the name of Jesus. Merry CHRISTmas and Happy New Year!
6949e0e6229f28b5014e61f8,just right,better than average,
6949e13fa3ae1fd1c5d551a2,just right,typical,
6949e1aa8ef7351e8129adb4,just right,typical,
6949e1b046f9c9ac1955386d,just right,better than average,
6949e1edd4c3501e5e2d1f60,just right,typical,It was interesting! 
6949e2018052a507b0715d41,just right,better than average,
6949e1bf2a9d333f57d02ade,just right,better than average,
6949e1d4fee89ecc1a815395,just right,better than average,"This was a very fun and enjoyable kind of research experiment, that was well-presented and creative in terms of its layout and format."
6949e2186dbfd6877cda9d7e,too easy,better than average,"Nothing I can think of besides it was fun and simple, thank you!! :)"
6949e224563e09b999c2f52d,too easy,better than average,
6949e249e157ca91e1a9ac6d,just right,better than average,it was fun. 
6949e240e8c82f3198122fcf,just right,better than average,"Very interesting and fun, thank you!"
6949e25541894228d4df94b6,just right,better than average,
6949e2558b0ff96abbbc5d59,too easy,better than average,
6949e2b1f9972d24c134b75b,just right,typical,
6949e2b8fc9b016a1fff2707,too easy,better than average,
6949e26ba1d9f3025f5b59c2,too easy,typical,No further feedback.
6949e2a639151bf7fac3b3ea,just right,better than average,
6949e2ba6c95948594b0d4ba,just right,better than average,
6949e33f63e8a69d6ec88125,just right,typical,thank you
6949e3254b92eda4b48da3b0,just right,typical,
6949e398889a38042e59bad1,just right,typical,
6949e3c17f72e76dbc8153ef,too easy,better than average,Thank you!
6949e3d504e134ca20fe73b7,too hard,typical,
6949e42005475fa3a26b7d0f,just right,better than average,
6949e432ef4eff25755cca74,just right,better than average,
6949e4676f2cc20977236bb8,just right,better than average,Enjoyed taking part. Thanks!
6949e47798840e839183c0d0,just right,typical,
6949e3aa9cd43a63355fb928,just right,typical,no
6949e3c7af49ff66833cf735,just right,better than average,
6949e454af9fbdf7a97f0b45,just right,typical,
6949e3fcb6f9918f8ac9cb21,too easy,better than average,It was a fun and enjoyable study!
6949e465cf7295e295c34234,just right,better than average,
6949e48ed66ffbfe38051d10,just right,typical,
6949e470541f3e25077ac102,just right,typical,i had no issues with the study
6949e483dea067a8a78d78b7,too easy,better than average,no
6949e4ad3da979fead3cd619,too easy,typical,
6949e49f7ecf0f0fc2c27611,just right,,"two clicks for F, then two clicks for J. Fun game."
6949e4c7ddbeadd3c64d77b3,just right,better than average,
6949e4b737a1975221625441,just right,typical,none
6949e4cbe5ab04f04ed19236,too easy,better than average,
6949e48772430917997ac8a0,too easy,typical,
6949e4da97a4b5deec8cb7f3,just right,better than average,This was fun!
6949e4cb45b3f7c34140ad74,just right,better than average,Should have been 100 rounds ! :) 
6949e4dd1e7510ab1887f5ab,just right,better than average,
6949e51f1c5ca1434297f6a4,just right,worse than average,
6949e50a8ef7351e8129ae0f,just right,typical,
6949e51c17d58e9c5d500b0c,too easy,better than average,No
6949e51b997d98aa6fcdac58,too easy,better than average,
6949e53060f055549f8c1d4c,too easy,typical,
6949e526549d4727b6cc6dfa,too easy,typical,
6949e556b7ba52e9643e190a,just right,better than average,
6949e541c673ace6ea122b5a,too easy,typical,
6949e58511d827279f178f23,too easy,typical,
6949e57c1a74b85c7e8ac91d,too easy,typical,
6949e569123c5d3d77ab2668,just right,better than average,Have a great day!!
6949e53e5938a0883c1db578,just right,typical,
6949e5833da979fead3cd62a,just right,better than average,
6949e5db7f88deb0ce50fcc0,just right,better than average,
6949e5d650ee44b5c9340725,just right,,It was fun!  
6949e58648cbc8abcf2e972f,just right,better than average,"Loved it, thanks"
6949e5ff37a1975221625466,just right,better than average,
6949e5f8bac0c6b9e029117e,just right,better than average,"No additional feedback, thank you."
6949e606941782280a508a84,just right,better than average,
6949e627f3018838ac362518,just right,better than average,
6949e58c774b684020c12ac3,just right,better than average,fun study 
6949e665672cf680e9b55b67,just right,better than average,
6949e643b535b0cd4604d05b,just right,typical,
6949e62b89526265a4ea2229,just right,better than average,N/A
6949e68369aebfb69de3c194,just right,better than average,
6949e68e1c5ca1434297f6c2,just right,better than average,
6949e64a66e7088cbda42f58,just right,better than average,happy holidays
6949e66b97a4b5deec8cb81e,just right,typical,
6949e668fb60eb4c9c944e09,too easy,better than average,
6949e65ed66ffbfe38051d4f,too easy,better than average,
6949e67422419ecb6012189c,too easy,better than average,
6949e69312d83b907e2f7575,just right,better than average,
6949e6c03ed41e09af771823,just right,better than average,
6949e6acd77370dcfcfd63e2,too easy,better than average,
6949e6c9b7ba52e9643e1937,just right,better than average,"This was a fun experiment, thanks for the bonus."
6949e6f4c01edce9abd8e1e8,too easy,typical,
6949e71f7ecf0f0fc2c27655,just right,better than average,"Nothing else, this was fun!"
6949e6b4e96e03741294595d,just right,worse than average,
6949e729c588e788594d77f2,just right,typical,
6949e74772430917997ac8df,too easy,better than average,
6949e6d5e2d67e88ca20a586,just right,better than average,
6949e6f2db518cc61031bcf1,just right,better than average,
6949e77213bc6ba745013d22,just right,typical,
6949e713dfc40630b7cfe065,just right,better than average,
6949e725de80a13f6431bcd1,just right,better than average,
6949e751660d4e6ba07b61d1,too easy,better than average,
6949e758bac0c6b9e02911be,too hard,typical,
6949e797660d4e6ba07b6230,too easy,typical,
6949e7b0c103f05038d9bdaa,too easy,better than average,
6949e7ac978528f59e1f469f,too easy,better than average,Thank you for having me.
6949e7b33ed41e09af771845,too easy,typical,
6949e7dac673ace6ea122b98,just right,better than average, none
6949e7cb243cf086177b73a4,just right,better than average,
6949e7f69d30eaeaff2bea32,just right,better than average,I enjoyed it!
6949e7c9ca0cf5f2dc26ed14,too easy,better than average,
6949e7cd465574915021b40d,just right,typical,
6949e7fd0614ae55852360fc,just right,better than average,"Yes, thank you so very much for this research!  I enjoyed taking it very much. Thank you for the opportunity and I am looking forward to doing more for you in the future. Thank you again and you have a most bodacious day!"
6949e814c2e1b3ded54da80d,just right,better than average,
6949e82bc8ab5c2c8e240281,too easy,typical,
6949e8926f2cc20977236c1f,just right,typical,
6949e857ada3c9d278f3facb,just right,typical,
6949e8a39996f866421ff49b,just right,better than average,
6949e82fd77370dcfcfd640b,too easy,typical,
6949e8a75938a0883c1db600,too easy,better than average,
6949e85fb362ce01741cac61,too easy,better than average,thank you
6949e8cd84f3cc7128fef6bd,too easy,better than average,
6949e8eb460ec3026b00b324,just right,typical,No feedback. Thank you.
6949e8d63508e3740c4b4e9f,too easy,typical,
6949e95ed7277df22a460e25,too easy,typical,
6949e98a39151bf7fac3b4d6,too easy,typical,
6949e9cd97a4b5deec8cb878,just right,typical,
6949ea08123c5d3d77ab26e5,just right,better than average,
6949ea2d729c31bf7409065c,just right,better than average,Thank you for an interesting study!
6949ea1eb535b0cd4604d114,too easy,better than average,N/A
6949ea1324b0e4f88b5ce77a,just right,better than average,Fun to do!  Hope for more fun games!
6949e9bd3d90ee6b9684b5b5,too easy,better than average,
6949e9a0a02c32c0db3f9cc0,too easy,better than average,
6949ea331d18523f01329243,just right,typical,
6949ea336d33876423927d73,just right,better than average,
6949ea4c017888cf4d2be3ff,too easy,typical,
6949ea642d4cc88c63efd389,just right,typical,NA
6949ea569a7f6cca486fba9a,too easy,better than average,
6949ea6915c26836cf38796e,too easy,typical,
6949eac7477e4c8223a43319,just right,better than average,
6949eaa4c6ef91b1ed8d8dd1,just right,typical,
6949ea9481c5bb6fd5672cc9,too easy,worse than average,
6949eabd4d0c8224b49a6d29,too easy,better than average,A very interesting study.
6949ea7952a3fdb7fb80da49,too easy,typical,
6949eab1c673ace6ea122bb9,just right,typical,
6949ead65d9f9fcc984554cf,just right,better than average,I genuinely enjoyed the game. It really was fun! I appreciate the opportunity to participate and earn more money. Thank you so much!
6949eb291ebee54cc18d8b8e,just right,typical,I can't believe it took me that long to notice the pattern.
6949eb296857512a5470fd43,just right,typical,
6949eb989cd60fe7fc8d7b97,just right,better than average,
6949eb3517d58e9c5d500ba4,just right,typical,
6949eb809a192d2ce350055e,too easy,typical,
6949ebfc09ce1924e03f360b,just right,worse than average,
6949ec04672cf680e9b55be2,just right,better than average,great survey
