session_id,total,consent,refresh,instructions,SequencePrediction,Survey
693b62dbca64ddb5125e110e,1:28,0:05,0:02,0:23,0:49,0:07
693b62f3e7d929acf7b09ce8,6:15,0:09,0:03,0:16,0:39,5:05
693b62f8cfd8fb11bee3b15e,1:39,0:08,0:03,0:25,0:51,0:09
693b63176666b227def8a7d9,1:22,0:03,0:08,0:16,0:44,0:08
693b66bfedf383dd4565ec82,2:31,1:25,0:18,0:36,0:57,0:10
