session_id,total
695b02b2684b1b1df50fbdbb,N/A
695b02ddfb556b00a4b53183,2:43
695b02e0faea46e8963f8cd0,4:11
695b0320ccf23839607f8daa,2:07
695b034cc1ba055943d9a644,2:39
695b0349eec455929a283e83,2:15
695b036e452fb017bbf5e5c8,2:33
695b03968075ddafaf68292e,N/A
695b03ca13bca801a24bca23,2:23
695b042fb9c1dbbbccbf0e2f,1:57
695b0492873873ed90714d4a,1:57
695b05d03209233fcc93e855,2:44
695b0663c3a63551906e592d,1:56
695b068b47c93c10f035825b,2:57
695b06a0825dfcf17b9f6678,2:41
695b06d47694e0e40c75d8ef,3:34
695b06d7c1abc8c2dafada2a,2:14
695b06ded24c5fd7615d0fac,3:06
695b07b57da05a4557bdf80a,2:52
695b080686c19c216365fc42,2:12
695b09c23173aa6187dd5441,N/A
695b08d207fa07d0cd7b45ef,2:58
695c1fc2fa2fcc1063abf169,N/A
695b15ce43be9c3a52bdaf8f,5:44
695c1fcd0c86238ecd3a4dee,N/A
695c1fe978e0079f9462ff0f,N/A
695c200c814b0d78f4ec4721,1:51
695c20c9543ba562276a2770,N/A
695c204466dc40ef0eeb2a3b,2:33
695c206ddf3d59751798a347,2:16
695c20e8943a4382297e6c2a,N/A
695c215facf5f34397c3c382,2:13
695c21951d6dc5c3ebae29c4,2:28
695c21dbe37555e6631de396,1:38
695c21be1e5ca8314e7ad783,3:33
695c21c29a142c5c01e75863,2:24
695c21a497e9cd92a39f69ef,1:52
695c21e0d9cc89a081a5bcb5,2:12
695c21e4ff4c64411fbf1a23,2:19
695c21ef3759219f8a3ae3ff,1:40
695c21f0d6d5989746d6948a,4:09
695c22155e01c24afd1f7b90,1:50
695c223d303ca0fbcb679c6d,2:37
695c2249cac8628755372dda,3:07
695c224fa949651b8156145a,N/A
695c2250c745c6ab85cad638,N/A
695c224e696b41debef5eadf,2:23
695c224f0e0d23c04b151ca9,3:54
695c2252afa79c259f595673,2:32
695c22539ca4cff02ec57650,2:24
695c225bdab8e7b26f4628ae,N/A
695c225e407747da98132981,N/A
695c2254524ad6b0e906f8c6,2:46
695c225e8bd1ceb119cad3bd,N/A
695c2258cbed180c9c96cc17,1:43
695c225f2d91fc071a9d13f5,4:55
695c22625e3df3cc11928133,N/A
695c2262667d1ef3fb89b633,2:33
695c226373c95f9112232af1,2:14
695c2263ad462f25106bf2cc,2:42
695c226455dedd0febd80879,2:02
695c226487ddb7dd5c100ec0,2:09
695c227602d22e3884109b46,N/A
695c226aabbd64768dd91f73,2:34
695c22803b28d1a854eb2a1b,N/A
695c22752abcd05dd8561923,1:55
695c227a9079a32a7b8829f6,2:04
695c227d67a949b2ec754aeb,2:19
695c22832167ada76836fc2e,2:22
695c2287686d5e250252af52,2:30
695c228add672d36cac41f68,N/A
695c22aeffed799244323ea9,N/A
695c22a4643f2acc3212b288,2:26
695c22b0e948cbc507c5eadf,2:43
695c22b17dc25d4c09b8dc56,N/A
695c22c56d164bab2a8b6c12,N/A
695c22b53f7183dd793f00b0,3:27
695c22bddabff437c6a7dde8,2:24
695c22bfa02b147da1400ae2,2:16
695c22d1eb599d2472d8ad49,1:51
695c22d44546b55a90e869bf,2:33
695c22d82df756e527ed9f7a,N/A
695c22d653f0a95f3be12e85,2:27
695c22d776f77685ec46ef4f,1:58
695c22d7d874b7b8aeec462b,3:15
695c22db763491e693c7352e,1:58
695c22dc60b55e43cf89b145,N/A
695c22eea6c374e0a650b07a,2:49
695c22eefa8d654c2ffb6ac3,1:57
695c22eba8b1561cb1174c79,2:48
695c22f4fa0cfb18a2fdfe71,3:22
695c22f2350c4f0bef5955ee,2:48
695c22f500c22fa545109aef,2:25
695c22f596c7b85feacf18b3,N/A
695c22f8b96ce059a41ef4bf,2:24
695c22f8a50d32d02dea0093,1:57
695c22fb8e2288b9bcfff193,N/A
695c22f93bbc93c904dea7e4,2:10
695c22fa63d826e71e5600bc,2:08
695c22fb39d75f3dd960bf0c,2:08
695c22fd8a36713f5152d548,N/A
695c22fe16b8777503e1bb4e,2:38
695c230b563bfc8795dfa90c,1:50
695c234cdce5b69fdcf89bf8,2:22
695c231d57aab80e44d694f3,2:27
695c232ad8348d9dbf6899c4,5:33
695c2355b108ac1ee40e2135,3:12
695c235e9fe432e4febc2fd9,N/A
695c235b1f54fb3c53bd5ba5,2:45
695c236a60d02749e38d316e,1:40
695c23708ba2cd514d628616,2:00
695c236f417868e329f527b6,2:58
695c237160b55e43cf89b15b,1:58
695c2374d71e63767c049c1d,2:51
695c2381027a3aa60e18d95d,N/A
695c238f3cb66075f8f716e2,N/A
695c23804156de024b08ea78,2:22
695c2380c4f62a812144195e,2:27
695c238888320c9bbb3a49f3,2:02
695c2385f2aa47ddc4059575,2:30
695c2391fdfc96b1b925db5d,N/A
695c23922ed4cc4ee5e759ea,N/A
695c23d90c8be0e400345efc,N/A
695c23dc143d4b9c920b6830,N/A
695c23dc54666fa24e3bef05,N/A
695c2395100976e45781c108,2:47
695c23b96a6f0336bb1f5949,2:15
695c23aa39086c15a389df83,1:55
695c23de42647d438b02191f,2:06
695c23fb7c3bb6dda48e682b,N/A
695c23e43b28d1a854eb2a42,2:06
695c244b16486e9e551f8262,N/A
695c23fe16486e9e551f8259,2:42
695c23ff024aece76a17dd50,2:17
695c24085ef990b0fd7505a5,4:28
695c243d38d853ba6a93064d,2:21
695c242af2595c3623f50c97,3:21
695c24597f989990eeb729ea,N/A
695c245a433dd27667ac9dbb,N/A
695c24572ed4cc4ee5e75a02,2:06
695c246340f426e03f51667d,N/A
695c24779e17a67fbca33fde,2:33
695c245b97c78220aa973b49,2:21
695c247dede23c5ef325d96e,2:39
695c2480db74d517319a3143,2:39
695c24c9b523fbe33d472120,N/A
