session_id,total
045P931K027AAPx3Tn6utnCI,N/A
696d51837442b265ff06121c,N/A
696d518586ad8fab27d549f2,1:44
696d518aba10d515823f8b11,2:55
696d518bb647a71b92468702,2:31
696d518c1a69cf6e0957e8c9,2:14
696d518e4d988a2cbce12cd5,2:22
696d518d42381fca0d2ac34c,2:57
696d5197f4212540260f9bf4,2:15
696d518e64d7d8309bb4597b,1:59
696d5190ec3838336f459685,3:23
696d51984b14c2160fb21b7d,2:11
696d519c8512bd381176b291,2:07
696d519b103d8f2f8ee3ff8a,3:01
696d519ca36b549b4e94f51a,1:53
696d519fc2af63fd7d379560,1:52
696d519f74723da0e93ef9e7,2:00
696d519e153b3f562194f1d5,2:09
696d51b476a5b98134bf80e7,N/A
696d51a7fb9268cda89816f6,2:23
696d51a57f148ee76916cab1,2:10
696d51adafb380b690d9fa67,3:36
696d51b53ae07f55e2a36459,3:10
696d51b69e2b5f1724463258,2:34
696d51b8a65b332349a41f3c,3:05
696d51c84c1fc65251ca3767,N/A
696d51b9e92549b346fd1b1e,3:06
696d51c0a690dfbe931715fc,2:56
696d51c9e3f14b90db9eb5da,2:53
696d51d306b22e9c10d9e254,1:47
696d51d24aeeca15d2e7c055,3:46
696d51d4fb9268cda89816f9,2:41
696d51dae42d088a38fa7a64,N/A
696d51d5f2b1918f8ddc20d6,2:29
696d51dcd2c3e87be22a75e4,2:21
696d51dd2803821ff9897447,3:18
696d51dd95bf767459ac35e9,2:32
696d51e6f2617d952681dafd,N/A
696d51e56989605f9a3d58a8,N/A
696d5202e034f3a273887f81,N/A
696d52088f3bd012688446de,N/A
696d51f66575d12dc0ea6d77,1:55
696d520afe73d66f452aad77,N/A
696d51fccc6ecc089fc3c556,3:01
696d520957486d60e8335575,1:53
696d52114c1fc65251ca376d,1:50
696d520f302cc68ae59444dd,4:09
696d5210a81c5b6952c93d33,3:04
696d5217f03a4a5366c932bb,7:39
696d521eb14487e6d24b369d,2:20
696d52115f3bcefcf3609a3c,2:14
696d5221103d8f2f8ee3ff8f,2:43
696d5239044a92c1381066ae,1:50
696d52220cff77cf31838947,2:45
696d523b1ed5ffd816904fe6,2:42
696d5242a94cab4deb9b0471,2:09
696d52418cb0526e5ff66104,3:55
696d5242d71524962460f817,2:01
696d5244983a88391deea3c5,2:31
696d52432ef2f580e7ea5263,1:49
696d52471bdb3ba15133ceb1,1:54
696d524f38a6cde20acec605,2:07
696d524b1fdaba6fcf3febdc,2:15
696d52539fca18d0cb5a00db,2:52
696d5259fcfb0443e1c8ef5e,N/A
696d52546210c3448a6080aa,3:05
696d5257c97948fac690b15a,2:12
696d525cc255e954921e834f,2:23
696d526158ff60ddf1aaec1f,2:31
696d526390ca876063a49620,2:33
696d527088cb308ee8726f48,N/A
696d52693ae07f55e2a36466,2:37
696d5283f8d35baa6832843b,N/A
696d5277fda95a6ae274afc1,2:48
696d5288b78edb72ee1927ae,1:44
696d527bcb09922b7094337a,2:21
696d528b736db0f260738884,N/A
696d528a1816367634ed57d9,1:55
696d52954aaafd0ceeca3181,4:59
