session_id,difficulty,fun,feedback
695adb23add23f3bd012e5cb,just right,typical,
695adb99510ea6983c79d340,just right,typical,N/A
695adb2bbb988b9307142182,too easy,typical,no
695adb3af4ec4fbb21ae1d97,just right,typical,
695adb8533866eef65f5dcf7,too easy,typical,
695adba80870ad41b95f4339,too easy,typical,
695adc050870ad41b95f4344,just right,better than average,
695adc108b230b75deab5990,just right,better than average,N/A
695adc31dc3390be01485c2e,just right,better than average,
695adc77ba5d9a914206ad91,too easy,typical,
695adcf4b517a33bbf90476a,just right,better than average,no comment
695adcf88748e6cf4a7393d4,just right,typical,
695addd4ba322ac6fa6eeccb,just right,better than average,"I found it fun, thanks."
695adea07e43ca56ba0cdae7,too easy,better than average,
695adf8732752dc4e4fdc525,just right,better than average,
695ae10a33866eef65f5dd2e,too easy,better than average,
695ae41dadd23f3bd012e68c,too easy,better than average,
695ae2a1a21c575d189424a9,too easy,better than average,
695ae464765443388fe65d10,just right,typical,
695aeb88138ea20880871a05,too easy,better than average,
