session_id,total
045Ppz1402h82Px371603500,N/A
697fcc634392f8880a2d1d9b,3:16
697fcc6ca59dc63ed52011c9,5:00
697fcc691f1f2096568e1148,2:24
697fcc6dd0d084b287eeda25,3:50
697fcc70222897395ebb451f,2:56
697fcc71b43656123621fc0f,4:00
697fcc79ee3dfe9b9d3df471,N/A
697fcc75a7a59a94bef3ed4a,1:40
697fcc725af5cbdd4d627aea,2:12
697fcc7684de211f77aa6388,2:30
697fcc7947b180008896498b,2:06
697fcc7d6bbd7889d921e322,2:02
697fcc8a5cf9cad0412f941c,N/A
697fcc817715294da6795d79,5:42
697fcc83cceb4bbcd881964d,2:50
697fcc85f3e12a1518130fe1,4:25
697fcc872d6cb90bce6a369d,2:56
697fccac78b1e112fbdf506c,2:20
697fcce4b9552e5c8e5518e9,N/A
697fccc5af6691424af75450,6:34
697fccc9de2f72c7fc623f67,1:53
697fccdbb5837582919c64bd,2:39
697fcce21f1f2096568e114c,2:12
697fccf8f191ca0df8189367,2:13
697fccfa99ed7ff2a53df785,N/A
697fccfa7163f852e87b280d,2:29
697fccfd6a634b6c1b4bde11,1:58
697fccfb3eebe658bb525962,1:59
697fccfb65700142cd0219a8,2:43
697fccfe84225caa76b63979,4:28
697fcd01bc1af450faf000ea,3:07
697fcd104c6e95d4b90d9d21,N/A
697fcd09aaa99bd23790f27e,2:25
697fcd11835937e227df4fe1,3:33
697fcd548b0527843d39c860,2:37
697fcd4c157f687890c271b4,3:53
697fcd18d1aa1cd602cd7614,3:37
697fcd5fc712116607e83e12,2:15
697fcd7b176760aa402cdf8d,2:57
697fcd6e04632361ccf5ae84,2:07
697fcd806399e8a723c93a42,N/A
697fcd7b5ebfbb57d05f22b2,2:22
697fcd7f33a43ec217263747,2:03
697fcd7c9a7b7ac623ab7d3e,3:16
697fcd87da0c4ae98dc90a71,3:14
697fcd89a5784435940abbba,3:08
697fcd90ebb1b138d133b5de,2:06
697fcd8dd4c05883ad09fc44,2:30
697fcd95e0571c7ee8937d86,1:53
697fcd998d84a7c9672de143,3:24
697fcdb4027633ddc926cc2a,2:09
697fcdc1de560ad567ca9611,2:08
697fcd9df0961d7796339e7d,1:35
697fcdada5784435940abbbe,2:01
697fcdefa02cbc84f9450ed2,3:26
697fcdf774a3a34713ed097f,2:32
697fcdfc61fe3e46e5ef0c40,3:36
697fce024c6e95d4b90d9d30,2:15
697fce127bb68d935cb9982c,2:27
697fce0333a43ec217263754,3:15
697fce1ba7a59a94bef3ed72,2:35
697fce649d40e47180d05517,2:20
697fce698f118484bd624a11,3:19
697fcea044bedb5a418e0ff0,3:57
697fcebaa5784435940abbd3,2:23
697fce7f695c7349ad352d5f,2:23
697fce6db92acdc8c9b6fb48,3:33
697fce9586a0b8a69f615d09,3:59
697fcec67e9fed4bcbbedb85,3:54
697fcef138117a340339cdd8,N/A
697fced361d0bc05e39053d8,2:35
697fcef238528958f10fa922,3:48
697fceed390ea621bbcda426,2:54
697fcef26049cfc9c1ebe9dd,2:15
697fcf2411bb07a2e473dedd,3:43
697fcf5474a3a34713ed0998,2:03
697fcf66d1e86a688a8de72b,2:06
697fcfa9885f5eb234d85675,1:54
697fd01384225caa76b639b9,2:37
697fcfecacc06cf45b596a3c,2:43
697fcf70d1eefb7fb56960b0,3:53
697fcfe10fd0ee645df3331f,2:34
697fd0263e2fae84365990bb,2:08
697fd03a73c91425f3d36af7,2:35
697fd0a4ae51687dcafe7fc1,3:39
697fd0cb5b3485cfc3991279,2:18
697fd0ce12bd87833b6d4ec1,1:55
697fd15bc3d98daa71a609f1,2:57
697fd2739274a49010c4d6f8,3:33
697fd2ab50b4b435353a4391,2:52
697fd3a3217cd98dd5f759e6,2:05
697fd5f5c0dd066708b077ce,2:04
697fd6f2dcc9d5ba5dca9c47,2:26
697fd947a7c3c67c1d08275e,N/A
697fd565a867c2985ccaf996,1:34
697fdcbcde560ad567ca96ff,2:28
697fe1071f6f46dd79480ce5,1:39
697fdc0e5c2c7b65ecbc2b3b,3:09
697fdb1f0dd2653476004989,3:26
697fdb0d3849e0d9449678f9,1:50
697fdc1cdbe591ab6d448f2f,1:40
697fe815d16cc5b0de9f604d,N/A
697febe96049cfc9c1ebed0a,N/A
697fe18c44e1e06270ed050b,2:39
697fe7d0ee3dfe9b9d3df5ec,2:09
697fe40bb2f10f3620964bad,2:10
697fe6437bea523bddc2ad6a,1:57
697ff10aae51687dcafe82dd,2:45
697ffa2c23f8b0fe62f33f2a,3:22
697fefc6088cfc67b0275c31,4:18
