session_id,total
045PpzJKY2h82P5r716ut5C0,N/A
694ee8b6d2db577df2dac448,2:14
694ee8b3d66c2a7b58bdeaf6,2:58
694ee8b6d4015c5f0d764269,2:05
694ee8bc12a043dd293e1688,3:04
694ee8bcc81fc6c4b6123be0,2:18
694ee8bf179710c93d02b5de,2:45
694ee8bd90a1769f5231bc94,4:00
694ee8be0bf5ede341b9778c,2:26
694ee8c1620e36718666e92a,2:33
694ee8c5ab52e325d5a3443c,2:16
694ee8c273d5192cdd31bcb7,2:02
694ee8c8ded7cb35a5a4e701,1:56
694ee8c9ef5a44c0105db7ef,N/A
694ee8cacb9b5aab3f7f78d1,3:25
694ee8cee5a64c7322891d1c,2:29
694ee8cb4b6d811f83060ba7,3:42
694ee8cca0c4624035bc44e8,2:24
694ee8cbc8ab5c2c8e2469a3,N/A
694ee8cd24c9e7b4077d37f7,N/A
694ee8cc280b730122dfc269,3:00
694ee8ce6ba7ccbd8f6c997f,2:21
694ee8cd7d4b2115a5cd40b0,4:40
694ee8d49fd90a79ec8baa24,2:44
694ee8dfac4ad2bf631a5e12,4:23
694ee8de9e051d2c9d776edb,1:57
694ee8db5a6fcdfb2835f558,2:28
694ee8d10bf5ede341b97790,2:24
694ee8cfccea365b40d19db9,2:28
694ee8dfdccd81b00872cbc6,4:08
694ee8d0838dd10fa7b05f2f,1:56
694ee8da7f8f2adb48764385,2:01
694ee8d4f09593b9614b1e88,4:03
694ee8ddcd94dc3c20a1b14e,4:06
694ee8dd620e36718666e931,1:47
694ee8e06aba30210e26e205,N/A
694ee8e1a3f82acb3610a7b6,N/A
694ee8e24f34f2ef38c4d7f2,1:36
694ee8e437a7efecbfad8a05,2:23
694ee8e6d26565804808b164,N/A
694ee8e594e2d8b2417d65f9,2:42
694ee8e8620e36718666e935,4:04
694ee8eb731540394a567346,1:50
694ee8f3d4fd0dfaf04fe9f0,2:06
694ee8f8bcd274c4ad455359,N/A
694ee8eb61f1404f70d4d7f9,2:44
694ee903634a34222b1fdb30,3:45
694ee8fcdc5c7c54dbf7e104,4:15
694ee90eedc4c68a32c89617,5:06
694ee910a6326688db40a545,2:12
694ee9136207eb2dbb06090f,N/A
694ee9340adbf28a794871e9,N/A
694ee92e27348a9d72b0451d,2:12
694ee93489ae6f81e60f8dbb,3:47
694ee91461522bac21d4eb09,3:23
694ee9055ac16d7f91999b56,2:01
694ee91210f18f7d53e17d81,3:22
694ee915a0c4624035bc44ee,2:50
694ee928f53c8e2a45dcc0e5,2:41
694ee91de5af500e23e6f83f,2:32
694ee93754b50ca307f0af9b,N/A
694ee93ad12c92debaf98ee2,3:09
694ee938c69b9cb101264803,2:31
694ee93b640ad93cf0c60134,2:59
694ee944af8f43179d995132,N/A
694ee943089ad33429ab391a,4:00
694ee94aa3f82acb3610a7be,1:53
694ee94e26f91702a936ecc3,1:54
694ee954612a9b41cf101554,2:29
694ee959342f713e77107bfc,2:12
694ee95f984df9de10a71ca2,2:54
694ee95c49d1da17fb111fd0,2:01
694ee9601bb8f5b2c1fc9572,2:04
694ee966b64d5755a3b26cf5,3:02
694ee9642900cd825d6c3583,1:57
694ee9670bf5ede341b977b2,N/A
694ee96e4d4b4df88bba0f15,2:29
694ee970ac287b416b4026b4,2:02
694ee9726207eb2dbb060916,1:50
694ee975f7f1d3401de997e8,3:18
694ee97282904c73da076e13,2:27
694ee977976fd4c502486e1c,3:03
694ee97daf8f43179d995135,4:21
694ee97e88eecccdd689fbf1,2:18
694ee97a8e2568c88e1cee5c,2:29
694ee981cd94dc3c20a1b15e,2:12
694ee989c4efb048fc1ae2b3,2:18
694ee98459852b4cd7daceb4,2:01
694ee992a95b0b0b5d831a58,2:42
694ee9987b1df882e90f8f11,2:33
694ee995b14451a486a49636,3:32
694ee99e5b90843e131ff2e4,2:13
694ee9856ed0fe9a2f5632df,1:51
694ee9844b6d811f83060bbb,2:29
694ee9838e2568c88e1cee5e,2:42
694ee988dd01cabb4be9e1de,4:42
694ee98d3cd3e62938586998,2:13
694ee98ec4efb048fc1ae2b5,2:30
694ee99cb58f9ceed5e4897c,3:46
694ee9a033db665bd9123e51,3:14
694ee9a3dd01cabb4be9e1e2,2:15
694ee99f695e40b961d36022,2:31
694ee9aa5440a88f97c60164,2:58
694ee9b1cb9b5aab3f7f78e9,N/A
694ee9a575af634232636657,2:37
694ee9e9838dd10fa7b05f3e,2:14
694ee9aed14e4892f2eb59aa,3:25
694ee9cee5af500e23e6f858,2:38
694ee9da65cda596c312e2d9,2:18
694ee9d85b84d5f1e0b74cfb,2:33
694ee9deada233a83fceb9bb,2:07
694ee9ee508f58e414e30fab,N/A
694ee9be489b8bcfed1a5e2d,N/A
694ee9f43f23c30e60642500,2:30
694ee9f635bb6e5798ad59f0,2:36
694eea0c4dfa11603cd12397,2:01
694eea0c918ec76c1a413077,N/A
694eea0e930a5c325f172f5e,N/A
694eea0f526761691fc8a23c,1:40
694eea1049d1da17fb111fe4,2:17
694ee9fb94e2d8b2417d6611,1:41
694eea10caa38acd8a43a6f3,2:27
694eea0595656a623df0ae25,2:19
694eea11620e36718666e94e,2:19
694eea17219ccdb87138260b,3:17
694eea19116868d59eb044fe,3:18
694eea21489b8bcfed1a5e33,2:00
694eea0202898350ef389735,N/A
694eea21697b409ddbe64b91,3:10
694eea029d5beea6d880d194,4:21
694eea0494cc50e140a3cd3a,3:43
694eea0e8a72b9325df6dc02,3:20
694eea19b5edebb2096e2ee9,N/A
694eea1e49d1da17fb111fe7,1:54
694eea23801e428fcd40dc24,2:51
694eea34ed5e3507c4b0349a,5:29
694eea60a6beac7f2adac20d,3:25
694eea68b5edebb2096e2ef5,4:46
694eea640fb044d7b1771345,3:48
694eea7a746e1d10b05f0c50,N/A
694eea788e2568c88e1cee75,2:13
694eea8127348a9d72b0453d,3:16
694eea892c82152863e57e4e,2:05
694eea8da6326688db40a56b,2:40
694eea8b76d5de5eae0d741e,4:16
694eea8ea363c3545b1bd199,3:44
694eea90697b409ddbe64b9f,3:41
694eea8c5005df94bac9594e,3:33
694eea8f75af634232636668,2:13
694eea90da92c9040349bf63,2:29
694eea91697b409ddbe64ba1,11:08
694eea95db8c9a1e52c202ba,2:32
694eeaa4f6c5bc8a906364b5,2:36
694eeaf79fd90a79ec8bab32,N/A
694eeaa79fd90a79ec8bab2b,2:44
694eeaab65cda596c312e2f4,2:15
694eea946aba30210e26e231,2:49
694eeabee8957a53662c24eb,4:50
694eeab88a72b9325df6dc15,2:37
694eead3f53c8e2a45dcc116,2:02
694eeb144624d97b8238996a,N/A
694eeb0b66fbb2c8fc6aaf97,2:37
694eeb191dc5efc9c2ad598f,4:14
694eeb3575af634232636677,2:23
694eeb911d990430117ac5e4,N/A
694eeb63e851bee7f0be7d67,2:15
694eeb9e6aba30210e26e24c,2:39
694eeb2dc506dc391140bed1,3:06
694eeb6ecb9b5aab3f7f790d,N/A
694eeb34436810f296892d70,2:43
694eec08f6ef29c1f61cef85,N/A
694eec0d5ac16d7f91999b9d,2:07
694eec112607f0ffb51eb3b1,7:26
694eebeea1b84d2f949bf0b9,3:13
694eeb9e7722531ce66e03f7,2:19
694eec686ed0fe9a2f563316,N/A
694eec26657c9f51d6a6be43,2:09
